"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"4589","Stimuli/nonrhyme_22_oneline.mp3","1","audio-button-response","10","262394","0.0-5.0-0.5",""
"6200","Stimuli/nonrhyme_11_oneline.mp3","1","audio-button-response","11","269182","0.0-5.0-0.6",""
"3829","Stimuli/nonrhyme_12_oneline.mp3","1","audio-button-response","12","273583","0.0-5.0-0.7",""
"7909","Stimuli/nonrhyme_10_twolines.mp3","0","audio-button-response","13","282122","0.0-5.0-0.8",""
"5091","Stimuli/nonrhyme_36_oneline.mp3","0","audio-button-response","14","287812","0.0-5.0-0.9",""
"4731","Stimuli/nonrhyme_25_oneline.mp3","1","audio-button-response","15","293120","0.0-5.0-0.10",""
"8331","Stimuli/endthreevowel_rhyme13.mp3","1","audio-button-response","16","302073","0.0-5.0-0.11",""
"7360","Stimuli/nonrhyme_6_twolines.mp3","1","audio-button-response","17","310040","0.0-5.0-0.12",""
"7960","Stimuli/onevowelend_rhyme6.mp3","1","audio-button-response","18","318613","0.0-5.0-0.13",""
"13651","Stimuli/threeVowelSlantRhyme_47.mp3","0","audio-button-response","19","332887","0.0-5.0-0.14",""
"8651","Stimuli/endthreevowel_rhyme11.mp3","1","audio-button-response","20","342158","0.0-5.0-0.15",""
"13120","Stimuli/threeVowelSlantRhyme_40.mp3","1","audio-button-response","21","355894","0.0-5.0-0.16",""
"10520","Stimuli/threeVowelSlantRhyme_43.mp3","0","audio-button-response","22","367037","0.0-5.0-0.17",""
"10368","Stimuli/endthreevowel_rhyme45.mp3","0","audio-button-response","23","378021","0.0-5.0-0.18",""
"9149","Stimuli/EndTwoVowel_rhyme13.mp3","1","audio-button-response","24","387792","0.0-5.0-0.19",""
"9760","Stimuli/endthreevowel_rhyme8.mp3","1","audio-button-response","25","398169","0.0-5.0-0.20",""
"7691","Stimuli/threeVowelSlantRhyme_23.mp3","0","audio-button-response","26","406484","0.0-5.0-0.21",""
"6061","Stimuli/nonrhyme_33_oneline.mp3","0","audio-button-response","27","413122","0.0-5.0-0.22",""
"9331","Stimuli/threeVowelSlantRhyme_19.mp3","1","audio-button-response","28","423067","0.0-5.0-0.23",""
"8331","Stimuli/EndTwoVowel_rhyme1.mp3","1","audio-button-response","29","432008","0.0-5.0-0.24",""
"11080","Stimuli/nonrhyme_2_twolines.mp3","1","audio-button-response","30","443625","0.0-5.0-0.25",""
"5891","Stimuli/nonrhyme_17_oneline.mp3","0","audio-button-response","31","450026","0.0-5.0-0.26",""
"8731","Stimuli/threeVowelSlantRhyme_28.mp3","0","audio-button-response","32","459492","0.0-5.0-0.27",""
