"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"8677","Stimuli/threeVowelSlantRhyme_18.mp3","1","audio-button-response","21","348648","0.0-5.0-0.16",""
"8219","Stimuli/threeVowelSlantRhyme_6.mp3","0","audio-button-response","22","357825","0.0-5.0-0.17",""
"9925","Stimuli/endthreevowel_rhyme48.mp3","1","audio-button-response","23","369040","0.0-5.0-0.18",""
"29904","Stimuli/onevowelend_rhyme2.mp3","0","audio-button-response","24","399840","0.0-5.0-0.19",""
"9269","Stimuli/threeVowelSlantRhyme_32.mp3","0","audio-button-response","25","409978","0.0-5.0-0.20",""
"4613","Stimuli/nonrhyme_38_oneline.mp3","1","audio-button-response","26","415097","0.0-5.0-0.21",""
"4485","Stimuli/nonrhyme_30_oneline.mp3","1","audio-button-response","27","420222","0.0-5.0-0.22",""
"9456","Stimuli/threeVowelSlantRhyme_9.mp3","0","audio-button-response","28","430524","0.0-5.0-0.23",""
"8587","Stimuli/nonrhyme_7_twolines.mp3","1","audio-button-response","29","439894","0.0-5.0-0.24",""
"40267","Stimuli/threeVowelSlantRhyme_43.mp3","1","audio-button-response","30","481002","0.0-5.0-0.25",""
"10080","Stimuli/endthreevowel_rhyme17.mp3","1","audio-button-response","31","492009","0.0-5.0-0.26",""
"12848","Stimuli/nonrhyme_19_oneline.mp3","0","audio-button-response","32","505524","0.0-5.0-0.27",""
"8139","Stimuli/nonrhyme_5_twolines.mp3","0","audio-button-response","33","514431","0.0-5.0-0.28",""
"7877","Stimuli/endthreevowel_rhyme14.mp3","0","audio-button-response","34","523044","0.0-5.0-0.29",""
"9227","Stimuli/endthreevowel_rhyme27.mp3","0","audio-button-response","35","533343","0.0-5.0-0.30",""
"12725","Stimuli/threeVowelSlantRhyme_40.mp3","1","audio-button-response","36","547085","0.0-5.0-0.31",""
"4933","Stimuli/nonrhyme_20_oneline.mp3","1","audio-button-response","37","552523","0.0-5.0-0.32",""
"7877","Stimuli/endthreevowel_rhyme40.mp3","1","audio-button-response","38","561221","0.0-5.0-0.33",""
"8341","Stimuli/threeVowelSlantRhyme_3.mp3","1","audio-button-response","39","570329","0.0-5.0-0.34",""
"8283","Stimuli/onevowelend_rhyme7.mp3","1","audio-button-response","40","579339","0.0-5.0-0.35",""
"6272","Stimuli/onevowelinternalrhyme2.mp3","1","audio-button-response","41","586311","0.0-5.0-0.36",""
"9835","Stimuli/endthreevowel_rhyme43.mp3","0","audio-button-response","42","596924","0.0-5.0-0.37",""
"12592","Stimuli/threeVowelSlantRhyme_49.mp3","1","audio-button-response","43","610298","0.0-5.0-0.38",""
"8565","Stimuli/nonrhyme_6_twolines.mp3","1","audio-button-response","44","619578","0.0-5.0-0.39",""
"10837","Stimuli/threeVowelSlantRhyme_45.mp3","1","audio-button-response","45","631200","0.0-5.0-0.40",""
"8187","Stimuli/nonrhyme_18_oneline.mp3","1","audio-button-response","46","640037","0.0-5.0-0.41",""
"8523","Stimuli/threeVowelSlantRhyme_17.mp3","1","audio-button-response","47","649320","0.0-5.0-0.42",""
"4939","Stimuli/nonrhyme_21_oneline.mp3","1","audio-button-response","48","654767","0.0-5.0-0.43",""
"8405","Stimuli/endthreevowel_rhyme13.mp3","0","audio-button-response","49","663913","0.0-5.0-0.44",""
"7504","Stimuli/onevowelslant_rhyme6.mp3","0","audio-button-response","50","672654","0.0-5.0-0.45",""
"10011","Stimuli/threeVowelSlantRhyme_35.mp3","0","audio-button-response","51","683450","0.0-5.0-0.46",""
"9003","Stimuli/endthreevowel_rhyme22.mp3","1","audio-button-response","52","693181","0.0-5.0-0.47",""
"10091","Stimuli/endthreevowel_rhyme23.mp3","1","audio-button-response","53","704001","0.0-5.0-0.48",""
"12288","Stimuli/threeVowelSlantRhyme_39.mp3","1","audio-button-response","54","717104","0.0-5.0-0.49",""
"10555","Stimuli/threeVowelSlantRhyme_44.mp3","0","audio-button-response","55","728452","0.0-5.0-0.50",""
"8491","Stimuli/endthreevowel_rhyme11.mp3","0","audio-button-response","56","737667","0.0-5.0-0.51",""
"9477","Stimuli/EndTwoVowel_rhyme12.mp3","0","audio-button-response","57","748932","0.0-5.0-0.52",""
"7920","Stimuli/onevowelend_rhyme5.mp3","0","audio-button-response","58","757567","0.0-5.0-0.53",""
"4032","Stimuli/nonrhyme_12_oneline.mp3","1","audio-button-response","59","762263","0.0-5.0-0.54",""
"7595","Stimuli/onevowelslant_rhyme7.mp3","0","audio-button-response","60","770629","0.0-5.0-0.55",""
"9461","Stimuli/endthreevowel_rhyme7.mp3","0","audio-button-response","61","780836","0.0-5.0-0.56",""
"5083","Stimuli/nonrhyme_40_oneline.mp3","1","audio-button-response","62","786567","0.0-5.0-0.57",""
"7829","Stimuli/threeVowelSlantRhyme_2.mp3","0","audio-button-response","63","795115","0.0-5.0-0.58",""
"8667","Stimuli/threeVowelSlantRhyme_28.mp3","1","audio-button-response","64","804808","0.0-5.0-0.59",""
"9461","Stimuli/endthreevowel_rhyme24.mp3","1","audio-button-response","65","815178","0.0-5.0-0.60",""
"9344","Stimuli/threeVowelSlantRhyme_14.mp3","1","audio-button-response","66","825238","0.0-5.0-0.61",""
"7616","Stimuli/endthreevowel_rhyme44.mp3","1","audio-button-response","67","833884","0.0-5.0-0.62",""
"3936","Stimuli/nonrhyme_34_oneline.mp3","1","audio-button-response","68","838474","0.0-5.0-0.63",""
"4629","Stimuli/nonrhyme_31_oneline.mp3","0","audio-button-response","69","843751","0.0-5.0-0.64",""
"17989","Stimuli/endthreevowel_rhyme33.mp3","0","audio-button-response","70","862476","0.0-5.0-0.65",""
"10405","Stimuli/endthreevowel_rhyme38.mp3","1","audio-button-response","71","873604","0.0-5.0-0.66",""
"9141","Stimuli/onevowelend_rhyme3.mp3","1","audio-button-response","72","883471","0.0-5.0-0.67",""
