"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"5898","Stimuli/nonrhyme_12_oneline.mp3","1","audio-button-response","29","372045","0.0-5.0-0.24",""
"6290","Stimuli/onevowelinternalrhyme1.mp3","1","audio-button-response","30","378945","0.0-5.0-0.25",""
"5193","Stimuli/nonrhyme_29_oneline.mp3","1","audio-button-response","31","384745","0.0-5.0-0.26",""
"7962","Stimuli/endthreevowel_rhyme35.mp3","0","audio-button-response","32","393378","0.0-5.0-0.27",""
"10655","Stimuli/EndTwoVowel_rhyme13.mp3","0","audio-button-response","33","404695","0.0-5.0-0.28",""
"13978","Stimuli/onevowelend_rhyme2.mp3","0","audio-button-response","34","438613","0.0-5.0-0.29",""
"9662","Stimuli/endthreevowel_rhyme19.mp3","0","audio-button-response","35","448928","0.0-5.0-0.30",""
"9660","Stimuli/EndTwoVowel_rhyme10.mp3","1","audio-button-response","36","459245","0.0-5.0-0.31",""
"8371","Stimuli/threeVowelSlantRhyme_15.mp3","0","audio-button-response","37","468281","0.0-5.0-0.32",""
"8644","Stimuli/endthreevowel_rhyme9.mp3","0","audio-button-response","38","477577","0.0-5.0-0.33",""
"8882","Stimuli/endthreevowel_rhyme43.mp3","0","audio-button-response","39","487114","0.0-5.0-0.34",""
"8594","Stimuli/onevowelslant_rhyme1.mp3","1","audio-button-response","40","496378","0.0-5.0-0.35",""
"52262","Stimuli/threeVowelSlantRhyme_29.mp3","1","audio-button-response","41","549294","0.0-5.0-0.36",""
"8101","Stimuli/EndTwoVowel_rhyme8.mp3","0","audio-button-response","42","558298","0.0-5.0-0.37",""
"7599","Stimuli/threeVowelSlantRhyme_2.mp3","1","audio-button-response","43","566544","0.0-5.0-0.38",""
"8292","Stimuli/endthreevowel_rhyme18.mp3","1","audio-button-response","44","575494","0.0-5.0-0.39",""
"7732","Stimuli/threeVowelSlantRhyme_27.mp3","0","audio-button-response","45","583882","0.0-5.0-0.40",""
"9601","Stimuli/endthreevowel_rhyme14.mp3","1","audio-button-response","46","594148","0.0-5.0-0.41",""
"11511","Stimuli/endthreevowel_rhyme1.mp3","0","audio-button-response","47","606348","0.0-5.0-0.42",""
"7088","Stimuli/nonrhyme_11_oneline.mp3","1","audio-button-response","48","614048","0.0-5.0-0.43",""
"9189","Stimuli/endthreevowel_rhyme39.mp3","0","audio-button-response","49","623895","0.0-5.0-0.44",""
