"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"6037","Stimuli/nonrhyme_39_oneline.mp3","0","audio-button-response","10","663632","0.0-5.0-0.5",""
"8963","Stimuli/nonrhyme_5_twolines.mp3","0","audio-button-response","11","673469","0.0-5.0-0.6",""
"14496","Stimuli/nonrhyme_7_twolines.mp3","1","audio-button-response","12","688714","0.0-5.0-0.7",""
"9024","Stimuli/nonrhyme_20_oneline.mp3","1","audio-button-response","13","698360","0.0-5.0-0.8",""
"14749","Stimuli/nonrhyme_4_twolines.mp3","0","audio-button-response","14","713849","0.0-5.0-0.9",""
"11040","Stimuli/threeVowelSlantRhyme_36.mp3","0","audio-button-response","15","725673","0.0-5.0-0.10",""
"8397","Stimuli/nonrhyme_33_oneline.mp3","0","audio-button-response","16","734726","0.0-5.0-0.11",""
"9992","Stimuli/endthreevowel_rhyme45.mp3","1","audio-button-response","17","745541","0.0-5.0-0.12",""
"12768","Stimuli/endthreevowel_rhyme20.mp3","1","audio-button-response","18","759058","0.0-5.0-0.13",""
"9875","Stimuli/endthreevowel_rhyme23.mp3","0","audio-button-response","19","769690","0.0-5.0-0.14",""
"41896","Stimuli/endthreevowel_rhyme50.mp3","1","audio-button-response","20","812520","0.0-5.0-0.15",""
"12080","Stimuli/endthreevowel_rhyme25.mp3","0","audio-button-response","21","825560","0.0-5.0-0.16",""
"7837","Stimuli/nonrhyme_39_oneline.mp3","0","audio-button-response","22","833903","0.0-5.0-0.17",""
"17283","Stimuli/nonrhyme_6_twolines.mp3","1","audio-button-response","23","851692","0.0-5.0-0.18",""
"6109","Stimuli/nonrhyme_32_oneline.mp3","0","audio-button-response","24","858746","0.0-5.0-0.19",""
"7637","Stimuli/nonrhyme_13_oneline.mp3","0","audio-button-response","25","867014","0.0-5.0-0.20",""
"10573","Stimuli/nonrhyme_8_twolines.mp3","0","audio-button-response","26","878091","0.0-5.0-0.21",""
"9333","Stimuli/endthreevowel_rhyme47.mp3","0","audio-button-response","27","888249","0.0-5.0-0.22",""
"9840","Stimuli/endthreevowel_rhyme26.mp3","0","audio-button-response","28","898846","0.0-5.0-0.23",""
"11733","Stimuli/threeVowelSlantRhyme_44.mp3","0","audio-button-response","29","911378","0.0-5.0-0.24",""
"9299","Stimuli/threeVowelSlantRhyme_4.mp3","0","audio-button-response","30","921395","0.0-5.0-0.25",""
"12379","Stimuli/endthreevowel_rhyme39.mp3","0","audio-button-response","31","934672","0.0-5.0-0.26",""
"10493","Stimuli/endthreevowel_rhyme17.mp3","1","audio-button-response","32","945947","0.0-5.0-0.27",""
"10355","Stimuli/threeVowelSlantRhyme_9.mp3","0","audio-button-response","33","957183","0.0-5.0-0.28",""
"9496","Stimuli/onevowelend_rhyme4.mp3","0","audio-button-response","34","967447","0.0-5.0-0.29",""
"10269","Stimuli/nonrhyme_3_twolines.mp3","0","audio-button-response","35","978427","0.0-5.0-0.30",""
"8499","Stimuli/EndTwoVowel_rhyme9.mp3","0","audio-button-response","36","987636","0.0-5.0-0.31",""
"10395","Stimuli/endthreevowel_rhyme37.mp3","0","audio-button-response","37","998744","0.0-5.0-0.32",""
"9179","Stimuli/nonrhyme_5_twolines.mp3","1","audio-button-response","38","1008426","0.0-5.0-0.33",""
"10456","Stimuli/endthreevowel_rhyme24.mp3","0","audio-button-response","39","1019599","0.0-5.0-0.34",""
"9693","Stimuli/EndTwoVowel_rhyme1.mp3","0","audio-button-response","40","1030023","0.0-5.0-0.35",""
"10096","Stimuli/onevowelslant_rhyme1.mp3","0","audio-button-response","41","1040829","0.0-5.0-0.36",""
"9296","Stimuli/threeVowelSlantRhyme_13.mp3","1","audio-button-response","42","1050813","0.0-5.0-0.37",""
"10123","Stimuli/threeVowelSlantRhyme_12.mp3","1","audio-button-response","43","1061623","0.0-5.0-0.38",""
"11552","Stimuli/onevowelend_rhyme1.mp3","1","audio-button-response","44","1073898","0.0-5.0-0.39",""
"10043","Stimuli/endthreevowel_rhyme28.mp3","1","audio-button-response","45","1084663","0.0-5.0-0.40",""
"5453","Stimuli/nonrhyme_23_oneline.mp3","0","audio-button-response","46","1090746","0.0-5.0-0.41",""
"5915","Stimuli/nonrhyme_14_oneline.mp3","1","audio-button-response","47","1097310","0.0-5.0-0.42",""
"10195","Stimuli/endthreevowel_rhyme1.mp3","1","audio-button-response","48","1108193","0.0-5.0-0.43",""
"9496","Stimuli/EndTwoVowel_rhyme13.mp3","1","audio-button-response","49","1118363","0.0-5.0-0.44",""
"11352","Stimuli/threeVowelSlantRhyme_49.mp3","0","audio-button-response","50","1130427","0.0-5.0-0.45",""
"11611","Stimuli/threeVowelSlantRhyme_45.mp3","1","audio-button-response","51","1142779","0.0-5.0-0.46",""
"11123","Stimuli/threeVowelSlantRhyme_46.mp3","0","audio-button-response","52","1154828","0.0-5.0-0.47",""
"12765","Stimuli/threeVowelSlantRhyme_17.mp3","1","audio-button-response","53","1168361","0.0-5.0-0.48",""
"6533","Stimuli/onevowelinternalrhyme8.mp3","1","audio-button-response","54","1175548","0.0-5.0-0.49",""
"10155","Stimuli/onevowelslant_rhyme8.mp3","0","audio-button-response","55","1186590","0.0-5.0-0.50",""
"9200","Stimuli/onevowelslant_rhyme3.mp3","0","audio-button-response","56","1196662","0.0-5.0-0.51",""
"10536","Stimuli/threeVowelSlantRhyme_32.mp3","1","audio-button-response","57","1207975","0.0-5.0-0.52",""
"8181","Stimuli/threeVowelSlantRhyme_23.mp3","0","audio-button-response","58","1216897","0.0-5.0-0.53",""
"8651","Stimuli/endthreevowel_rhyme9.mp3","0","audio-button-response","59","1226279","0.0-5.0-0.54",""
"7216","Stimuli/onevowelinternalrhyme6.mp3","1","audio-button-response","60","1234127","0.0-5.0-0.55",""
"6875","Stimuli/nonrhyme_27_oneline.mp3","0","audio-button-response","61","1241647","0.0-5.0-0.56",""
"12813","Stimuli/threeVowelSlantRhyme_50.mp3","0","audio-button-response","62","1255234","0.0-5.0-0.57",""
"11653","Stimuli/threeVowelSlantRhyme_5.mp3","1","audio-button-response","63","1267597","0.0-5.0-0.58",""
"7859","Stimuli/nonrhyme_28_oneline.mp3","1","audio-button-response","64","1276112","0.0-5.0-0.59",""
"10069","Stimuli/onevowelslant_rhyme6.mp3","1","audio-button-response","65","1286866","0.0-5.0-0.60",""
"11075","Stimuli/endthreevowel_rhyme7.mp3","0","audio-button-response","66","1298665","0.0-5.0-0.61",""
"6739","Stimuli/nonrhyme_34_oneline.mp3","0","audio-button-response","67","1306055","0.0-5.0-0.62",""
"6043","Stimuli/nonrhyme_19_oneline.mp3","0","audio-button-response","68","1312744","0.0-5.0-0.63",""
"11437","Stimuli/endthreevowel_rhyme49.mp3","0","audio-button-response","69","1324921","0.0-5.0-0.64",""
"10056","Stimuli/threeVowelSlantRhyme_2.mp3","1","audio-button-response","70","1335717","0.0-5.0-0.65",""
"9133","Stimuli/onevowelend_rhyme6.mp3","0","audio-button-response","71","1345583","0.0-5.0-0.66",""
"8069","Stimuli/EndTwoVowel_rhyme6.mp3","0","audio-button-response","72","1354362","0.0-5.0-0.67",""
"9456","Stimuli/endthreevowel_rhyme32.mp3","0","audio-button-response","73","1364550","0.0-5.0-0.68",""
"5896","Stimuli/nonrhyme_22_oneline.mp3","0","audio-button-response","74","1371091","0.0-5.0-0.69",""
"9152","Stimuli/EndTwoVowel_rhyme11.mp3","0","audio-button-response","75","1381000","0.0-5.0-0.70",""
"17520","Stimuli/threeVowelSlantRhyme_28.mp3","1","audio-button-response","76","1399263","0.0-5.0-0.71",""
"12251","Stimuli/threeVowelSlantRhyme_34.mp3","0","audio-button-response","77","1412248","0.0-5.0-0.72",""
"9104","Stimuli/endthreevowel_rhyme8.mp3","0","audio-button-response","78","1422036","0.0-5.0-0.73",""
"11387","Stimuli/nonrhyme_38_oneline.mp3","1","audio-button-response","79","1434062","0.0-5.0-0.74",""
"10808","Stimuli/threeVowelSlantRhyme_41.mp3","1","audio-button-response","80","1445608","0.0-5.0-0.75",""
"8307","Stimuli/onevowelend_rhyme7.mp3","0","audio-button-response","81","1454602","0.0-5.0-0.76",""
