"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"5581","Stimuli/nonrhyme_37_oneline.mp3","0","audio-button-response","10","285966","0.0-5.0-0.5",""
"4960","Stimuli/nonrhyme_38_oneline.mp3","0","audio-button-response","11","291792","0.0-5.0-0.6",""
"7000","Stimuli/nonrhyme_24_oneline.mp3","0","audio-button-response","12","299437","0.0-5.0-0.7",""
"7960","Stimuli/nonrhyme_30_oneline.mp3","1","audio-button-response","13","308245","0.0-5.0-0.8",""
"10395","Stimuli/nonrhyme_27_oneline.mp3","1","audio-button-response","14","319591","0.0-5.0-0.9",""
"8659","Stimuli/endthreevowel_rhyme9.mp3","0","audio-button-response","15","329233","0.0-5.0-0.10",""
"25560","Stimuli/endthreevowel_rhyme34.mp3","0","audio-button-response","16","356025","0.0-5.0-0.11",""
"8541","Stimuli/onevowelend_rhyme4.mp3","1","audio-button-response","17","365490","0.0-5.0-0.12",""
"8760","Stimuli/threeVowelSlantRhyme_7.mp3","0","audio-button-response","18","376141","0.0-5.0-0.13",""
"9859","Stimuli/threeVowelSlantRhyme_26.mp3","1","audio-button-response","19","386991","0.0-5.0-0.14",""
"8659","Stimuli/endthreevowel_rhyme29.mp3","1","audio-button-response","20","397118","0.0-5.0-0.15",""
"4899","Stimuli/nonrhyme_22_oneline.mp3","0","audio-button-response","21","402816","0.0-5.0-0.16",""
"11459","Stimuli/threeVowelSlantRhyme_42.mp3","1","audio-button-response","22","415242","0.0-5.0-0.17",""
"6840","Stimuli/nonrhyme_13_oneline.mp3","0","audio-button-response","23","422992","0.0-5.0-0.18",""
"8061","Stimuli/EndTwoVowel_rhyme13.mp3","0","audio-button-response","24","432083","0.0-5.0-0.19",""
"8280","Stimuli/nonrhyme_3_twolines.mp3","1","audio-button-response","25","441233","0.0-5.0-0.20",""
"10221","Stimuli/endthreevowel_rhyme15.mp3","1","audio-button-response","26","452542","0.0-5.0-0.21",""
"9920","Stimuli/endthreevowel_rhyme31.mp3","1","audio-button-response","27","463795","0.0-5.0-0.22",""
"6925","Stimuli/nonrhyme_19_oneline.mp3","1","audio-button-response","28","472095","0.0-5.0-0.23",""
"8861","Stimuli/endthreevowel_rhyme8.mp3","1","audio-button-response","29","482014","0.0-5.0-0.24",""
"9205","Stimuli/threeVowelSlantRhyme_28.mp3","1","audio-button-response","30","492296","0.0-5.0-0.25",""
"11021","Stimuli/threeVowelSlantRhyme_45.mp3","0","audio-button-response","31","504408","0.0-5.0-0.26",""
"15099","Stimuli/nonrhyme_28_oneline.mp3","1","audio-button-response","32","520565","0.0-5.0-0.27",""
"8920","Stimuli/endthreevowel_rhyme5.mp3","0","audio-button-response","33","530813","0.0-5.0-0.28",""
"37920","Stimuli/threeVowelSlantRhyme_37.mp3","1","audio-button-response","34","569713","0.0-5.0-0.29",""
"10843","Stimuli/threeVowelSlantRhyme_38.mp3","0","audio-button-response","35","581523","0.0-5.0-0.30",""
"8480","Stimuli/onevowelslant_rhyme7.mp3","0","audio-button-response","36","590962","0.0-5.0-0.31",""
"14384","Stimuli/threeVowelSlantRhyme_34.mp3","1","audio-button-response","37","606510","0.0-5.0-0.32",""
"8560","Stimuli/EndTwoVowel_rhyme10.mp3","0","audio-button-response","38","615984","0.0-5.0-0.33",""
"11619","Stimuli/threeVowelSlantRhyme_36.mp3","1","audio-button-response","39","628670","0.0-5.0-0.34",""
"9741","Stimuli/onevowelslant_rhyme4.mp3","0","audio-button-response","40","639486","0.0-5.0-0.35",""
"10360","Stimuli/endthreevowel_rhyme38.mp3","1","audio-button-response","41","650907","0.0-5.0-0.36",""
"8800","Stimuli/threeVowelSlantRhyme_3.mp3","0","audio-button-response","42","660686","0.0-5.0-0.37",""
"10179","Stimuli/threeVowelSlantRhyme_8.mp3","0","audio-button-response","43","671820","0.0-5.0-0.38",""
"7861","Stimuli/onevowelinternalrhyme3.mp3","1","audio-button-response","44","680575","0.0-5.0-0.39",""
"10579","Stimuli/endthreevowel_rhyme14.mp3","0","audio-button-response","45","692091","0.0-5.0-0.40",""
"5819","Stimuli/nonrhyme_20_oneline.mp3","1","audio-button-response","46","698782","0.0-5.0-0.41",""
"9840","Stimuli/endthreevowel_rhyme39.mp3","0","audio-button-response","47","709795","0.0-5.0-0.42",""
"8880","Stimuli/threeVowelSlantRhyme_18.mp3","0","audio-button-response","48","719624","0.0-5.0-0.43",""
"134592","Stimuli/endthreevowel_rhyme32.mp3","1","audio-button-response","49","2786126","0.0-5.0-0.44",""
"9016","Stimuli/nonrhyme_6_twolines.mp3","1","audio-button-response","50","2795620","0.0-5.0-0.45",""
"5139","Stimuli/nonrhyme_23_oneline.mp3","1","audio-button-response","51","2802025","0.0-5.0-0.46",""
"8424","Stimuli/threeVowelSlantRhyme_17.mp3","1","audio-button-response","52","2811518","0.0-5.0-0.47",""
"8200","Stimuli/onevowelslant_rhyme6.mp3","0","audio-button-response","53","2820660","0.0-5.0-0.48",""
"21053","Stimuli/threeVowelSlantRhyme_5.mp3","1","audio-button-response","54","2842768","0.0-5.0-0.49",""
"8659","Stimuli/nonrhyme_7_twolines.mp3","0","audio-button-response","55","2852477","0.0-5.0-0.50",""
"8360","Stimuli/endthreevowel_rhyme30.mp3","0","audio-button-response","56","2861817","0.0-5.0-0.51",""
"7221","Stimuli/nonrhyme_38_oneline.mp3","1","audio-button-response","57","2869539","0.0-5.0-0.52",""
"7800","Stimuli/onevowelend_rhyme7.mp3","0","audio-button-response","58","2878317","0.0-5.0-0.53",""
"8821","Stimuli/nonrhyme_1_twolines.mp3","0","audio-button-response","59","2888172","0.0-5.0-0.54",""
