"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order"
"4960","Stimuli/nonrhyme_22_oneline.mp3","1","audio-button-response","10","199466","0.0-5.0-0.5",""
"5168","Stimuli/nonrhyme_11_oneline.mp3","0","audio-button-response","11","205230","0.0-5.0-0.6",""
"5211","Stimuli/nonrhyme_13_oneline.mp3","1","audio-button-response","12","211012","0.0-5.0-0.7",""
"9720","Stimuli/nonrhyme_2_twolines.mp3","0","audio-button-response","13","221296","0.0-5.0-0.8",""
"6299","Stimuli/nonrhyme_28_oneline.mp3","0","audio-button-response","14","228183","0.0-5.0-0.9",""
"6680","Stimuli/onevowelinternalrhyme2.mp3","1","audio-button-response","15","235453","0.0-5.0-0.10",""
"5029","Stimuli/onevowelinternalrhyme3.mp3","0","audio-button-response","16","241068","0.0-5.0-0.11",""
"8021","Stimuli/nonrhyme_32_oneline.mp3","1","audio-button-response","17","249682","0.0-5.0-0.12",""
"9131","Stimuli/threeVowelSlantRhyme_11.mp3","0","audio-button-response","18","259455","0.0-5.0-0.13",""
"8632","Stimuli/onevowelend_rhyme6.mp3","0","audio-button-response","19","268734","0.0-5.0-0.14",""
"9640","Stimuli/endthreevowel_rhyme39.mp3","0","audio-button-response","20","279018","0.0-5.0-0.15",""
"8901","Stimuli/endthreevowel_rhyme18.mp3","0","audio-button-response","21","288542","0.0-5.0-0.16",""
"8869","Stimuli/threeVowelSlantRhyme_27.mp3","1","audio-button-response","22","298035","0.0-5.0-0.17",""
"9720","Stimuli/threeVowelSlantRhyme_28.mp3","1","audio-button-response","23","308379","0.0-5.0-0.18",""
"11160","Stimuli/threeVowelSlantRhyme_44.mp3","1","audio-button-response","24","320169","0.0-5.0-0.19",""
"17699","Stimuli/threeVowelSlantRhyme_34.mp3","1","audio-button-response","25","338511","0.0-5.0-0.20",""
"8501","Stimuli/endthreevowel_rhyme31.mp3","0","audio-button-response","26","347613","0.0-5.0-0.21",""
"6160","Stimuli/nonrhyme_22_oneline.mp3","1","audio-button-response","27","354277","0.0-5.0-0.22",""
"7971","Stimuli/EndTwoVowel_rhyme6.mp3","0","audio-button-response","28","362851","0.0-5.0-0.23",""
"9269","Stimuli/endthreevowel_rhyme20.mp3","1","audio-button-response","29","372746","0.0-5.0-0.24",""
"14501","Stimuli/threeVowelSlantRhyme_18.mp3","1","audio-button-response","30","387885","0.0-5.0-0.25",""
"9069","Stimuli/endthreevowel_rhyme11.mp3","0","audio-button-response","31","397581","0.0-5.0-0.26",""
"9691","Stimuli/threeVowelSlantRhyme_24.mp3","1","audio-button-response","32","407886","0.0-5.0-0.27",""
"9472","Stimuli/nonrhyme_8_twolines.mp3","1","audio-button-response","33","418015","0.0-5.0-0.28",""
"11131","Stimuli/endthreevowel_rhyme41.mp3","0","audio-button-response","34","429774","0.0-5.0-0.29",""
"10869","Stimuli/nonrhyme_7_twolines.mp3","1","audio-button-response","35","441144","0.0-5.0-0.30",""
"7571","Stimuli/nonrhyme_28_oneline.mp3","1","audio-button-response","36","449215","0.0-5.0-0.31",""
"9608","Stimuli/nonrhyme_9_twolines.mp3","0","audio-button-response","37","459429","0.0-5.0-0.32",""
"11451","Stimuli/threeVowelSlantRhyme_42.mp3","1","audio-button-response","38","471494","0.0-5.0-0.33",""
"6131","Stimuli/nonrhyme_13_oneline.mp3","1","audio-button-response","39","478124","0.0-5.0-0.34",""
"10171","Stimuli/onevowelslant_rhyme2.mp3","0","audio-button-response","40","488919","0.0-5.0-0.35",""
"6880","Stimuli/nonrhyme_29_oneline.mp3","1","audio-button-response","41","496375","0.0-5.0-0.36",""
"9019","Stimuli/EndTwoVowel_rhyme4.mp3","0","audio-button-response","42","505996","0.0-5.0-0.37",""
"9219","Stimuli/threeVowelSlantRhyme_10.mp3","1","audio-button-response","43","515833","0.0-5.0-0.38",""
"10320","Stimuli/onevowelslant_rhyme8.mp3","0","audio-button-response","44","526772","0.0-5.0-0.39",""
